BSE SYMBOL,ISIN No,Type
MEGAMONT,INE317D01014,Equity
PATIDAR,INE637N01014,Equity
VENLONENT,INE204D01022,Equity
PETPLST,INE704F01018,Equity
PANIDPR,INE181D01014,Equity
HARLETH,INE681F01018,Equity
PCCOSMA,INE417E01010,Equity
TCMLMTD,INE034F01010,Equity
KESARPE,INE133C01033,Equity
LACTOSE,INE058I01013,Equity
TEEAI,INE757D01011,Equity
PNTKYOR,INE702E01015,Equity
RESONANCE,INE486D01017,Equity
GUJINJEC,INE659F01022,Equity
AIMCOPEST,INE008B01013,Equity
GUJTERC,INE499G01013,Equity
KABRADG,INE323K01017,Equity
SHHARICH,INE065E01017,Equity
ISHITADR,INE806D01016,Equity
UNIVSTAR,INE113E01015,Equity
NORRIS,INE744C01029,Equity
ASINPET,INE810M01019,Equity
CAMEXLTD,INE198C01010,Equity
EVEXIA,INE313M01030,Equity
INDOEURO,INE319N01019,Equity
RIDDHI,INE249D01019,Equity
SVCIND,INE038B01010,Equity
RAAJMEDI,INE548H01015,Equity
REVAMEDIA,INE270D01015,Equity
CORALAB,INE683E01017,Equity
TULASEEBIOE,INE276N01011,Equity
BACPHAR,INE711D01018,Equity
KMCSHIL,INE879K01018,Equity
LAFFANSQ,INE919B01011,Equity
BHASKAGR,INE972C01018,Equity
SHARMEH,INE465H01012,Equity
GAYATRIBI,INE052E01015,Equity
PHARMAID,INE117D01018,Equity
VIVIDIND,INE737C01023,Equity
PRIYALT,INE686C01014,Equity
TIRUSTA,INE314D01011,Equity
JAYSYNTH,INE263B01022,Equity
AEONXDIGI,INE994D01010,Equity
BANDARAM,INE875N01036,Equity
ADLINE,INE276T01018,Equity
BERLDRG,INE415H01017,Equity
INDXTRA,INE056E01024,Equity
ISTRNETWK,INE532B01020,Equity
GAGAN,INE076D01016,Equity
PARKERAC,INE750B01010,Equity
SHUKRAPHAR,INE551C01044,Equity
ALUFLUOR,INE058F01019,Equity
OXYGENTAPH,INE102E01018,Equity
ARCHITORG,INE078I01011,Equity
WELCURE,INE331C01025,Equity
BIBCL,INE994B01014,Equity
KABSON,INE645C01010,Equity
BASANTGL,INE473E01021,Equity
SANDUPHQ,INE751D01014,Equity
VISTAPH,INE427C01021,Equity
TITANBIO,INE150C01029,Equity
ARVAYA,INE491D01017,Equity
SDL,INE004E01016,Equity
JENBURPH,INE354A01013,Equity
LINKPH,INE302F01011,Equity
DECIPHER,INE643N01012,Equity
EMMESSA,INE634B01016,Equity
EVERESTO,INE334C01029,Equity
PHYTO,INE037C01010,Equity
DYNAMIND,INE457C01010,Equity
BDH,INE278D01018,Equity
JAUSPOL,INE593O01017,Equity
GLOBUSCON,INE064L01015,Equity
POLYCHMP,INE809B01014,Equity
STELLANT,INE395F01023,Equity
GALXBRG,INE020S01012,Equity
VINRKLB,INE092O01028,Equity
SCAGRO,INE895E01017,Equity
RALEGRA,INE427E01027,Equity
UNRYLMA,INE602H01010,Equity
KARANWO,INE327D01013,Equity
SHERVANI,INE011D01013,Equity
SUPERTEX,INE881B01054,Equity
SHETR,INE278C01010,Equity
TRABI,INE773D01018,Equity
MPL,INE343A01016,Equity
NIKHILAD,INE926C01022,Equity
SPENTA,INE175C01018,Equity
MULTIBASE,INE678F01014,Equity
ANDREWYU,INE449C01025,Equity
LUDLOWJUT,INE983C01015,Equity
ASHRAM,INE293C01019,Equity
ROYALCU,INE618A01011,Equity
SURJIND,INE170U01011,Equity
BLOOM,INE253C01013,Equity
STDSFAC,INE307D01015,Equity
MORGAN,INE902C01015,Equity
AMRAPLIN,INE762C01021,Equity
MIDEASTP,INE033E01015,Equity
CRSTCHM,INE293N01016,Equity
DIVSHKT,INE410G01010,Equity
ADVMULT,INE875S01019,Equity
SHREYASI,INE115F01017,Equity
PANJON,INE744D01019,Equity
CRAFTROOT,INE218T01010,Equity
DUROPACK,INE138B01018,Equity
SWARNSAR,INE967A01012,Equity
CINDHO,INE908C01012,Equity
HAMPTON,INE299D01022,Equity
KKALPANAIND,INE301C01028,Equity
OKPLA,INE870B01024,Equity
WELTI,INE662D01013,Equity
ASMTEC,INE867C01010,Equity
PERFEPA,INE759I01024,Equity
AMBIT,INE267C01013,Equity
VISIONCINE,INE515B01025,Equity
AEIM,INE072B01027,Equity
INDRANIB,INE007C01021,Equity
EUROLED,INE940E01011,Equity
WINSOMBR,INE391C01011,Equity
ELEFLOR,INE152E01013,Equity
SAENTER,INE118B01010,Equity
SKYIND,INE765B01018,Equity
PHOENXINTL,INE245B01011,Equity
BHUDEVI,INE432N01010,Equity
PRATIK,INE206C01029,Equity
RISHIROOP,INE582D01013,Equity
PROMACT,INE818D01011,Equity
STRGRENWO,INE398F01019,Equity
SHAHISHIP,INE825D01016,Equity
ALPINEHOU,INE840D01015,Equity
WWALUM,INE550D01010,Equity
IIRM,INE670C01026,Equity
SFPIL,INE716K01020,Equity
SGLRES,INE967B01028,Equity
CHOKSILA,INE493D01013,Equity
SALGUTI,INE159C01012,Equity
REMAGNET,INE519N01014,Equity
ENTRINT,INE439G01019,Equity
PHOTOQUP,INE813B01016,Equity
LIPPISYS,INE845B01018,Equity
EXPOEAPL,INE561D01025,Equity
NATPLAS,INE233D01013,Equity
MFLINDIA,INE244C01020,Equity
AJWAFUN,INE863E01015,Equity
TEXELIN,INE594V01028,Equity
RAYALEMA,INE008C01011,Equity
TIRTPLS,INE008N01018,Equity
ECOPLAST,INE423D01010,Equity
ELEMARB,INE095B01010,Equity
BITS,INE839A01021,Equity
ADARSHPL,INE627D01016,Equity
HPBL,INE136C01044,Equity
NICCOPAR,INE653C01022,Equity
NTCIND,INE920C01017,Equity
GARNET,INE797D01017,Equity
BRIGHTBR,INE630D01010,Equity
SHAWGELTIN,INE869A01010,Equity
PGFOILQ,INE078D01012,Equity
GRATEXI,INE915E01013,Equity
VELHO,INE548D01014,Equity
HOWARHO,INE931B01016,Equity
VALIANT,INE760B01019,Equity
MHSGRMS,INE007G01014,Equity
RAGHUNAT,INE753B01014,Equity
RAJINFRA,INE016C01014,Equity
SPICEISLIN,INE882D01017,Equity
SIPL,INE413C01013,Equity
SHAKTIPR,INE794C01016,Equity
ASHSI,INE338C01012,Equity
AREXMIS,INE480H01011,Equity
ISFL,INE973B01026,Equity
RISHILASE,INE988D01012,Equity
JAINCO,INE966C01010,Equity
KUMPFIN,INE795E01019,Equity
INTECCAP,INE017E01018,Equity
RAJSEC,INE184D01026,Equity
SIDDHEGA,INE797C01019,Equity
SHIKHAR,INE641B01011,Equity
INDOCRED,INE147D01015,Equity
MKTCREAT,INE944C01017,Equity
HFIL,INE552B01010,Equity
SONALAD,INE344I01017,Equity
PADMAIND,INE743D01011,Equity
HRYNSHP,INE400G01011,Equity
KALIND,INE377D01018,Equity
VAICC,INE116E01018,Equity
TYROON,INE945B01016,Equity
WOODSVILA,INE374J01020,Equity
LASTMILE,INE404B01022,Equity
GUJCRAFT,INE372D01019,Equity
HEERAISP,INE025D01013,Equity
DHOOTIN,INE313G01016,Equity
CRIMSON,INE318P01016,Equity
SHREEPAC,INE847D01010,Equity
SAMYAKINT,INE607G01011,Equity
AADIIND,INE563D01013,Equity
SPARKLEGR,INE618F01010,Equity
ACKNIT,INE326C01017,Equity
TITANSEC,INE090D01017,Equity
REALECO,INE055E01034,Equity
VIVANZA,INE984E01035,Equity
YASHRAJC,INE095C01018,Equity
LORDSHOTL,INE689J01013,Equity
PURETROP,INE795D01011,Equity
ACEEDU,INE715F01014,Equity
ANUPAM,INE069B01023,Equity
RAJPACK,INE639C01013,Equity
NATRAJPR,INE444D01016,Equity
SAMRATPH,INE103E01016,Equity
NPRFIN,INE446D01011,Equity
AMCOIND,INE924B01011,Equity
KREONFIN,INE302C01018,Equity
GYANDEV,INE487G01018,Equity
KISAN,INE017C01012,Equity
KERALAYUR,INE817B01025,Equity
MONGIPA,INE153K01018,Equity
MOHITPPR,INE388C01017,Equity
DAULAT,INE108C01019,Equity
ODYSSEY,INE213B01019,Equity
RSCINT,INE015F01019,Equity
SURATRAML,INE936A01025,Equity
ATHARVENT,INE354E01031,Equity
FUNDVISER,INE365H01014,Equity
KALLAM,INE629F01025,Equity
BRAWN,INE899B01015,Equity
FORINTL,INE501D01013,Equity
KINGSINFR,INE050N01010,Equity
SWOJAS,INE295B01016,Equity
NUTRICIRCLE,INE536C01029,Equity
SUBSM,INE690D01014,Equity
AUROLAB,INE292C01011,Equity
KJMCFIN,INE533C01018,Equity
ARYAMAN,INE032E01017,Equity
BRIDGESE,INE958C01025,Equity
RISAINTL,INE001O01029,Equity
RAJTUBE,INE497E01020,Equity
KAYPOWR,INE961B01013,Equity
INTSTOIL,INE003B01014,Equity
GLOBALCA,INE062C01042,Equity
SAINIK,INE584B01013,Equity
ARIGATO,INE021N01011,Equity
RICHUNV,INE652D01014,Equity
QUANTDIA,INE373C01019,Equity
SPCAPIT,INE102F01015,Equity
PAOS,INE791C01012,Equity
SHRAJOI,INE418K01015,Equity
CHANDRAP,INE368D01025,Equity
KIMIABL,INE285U01025,Equity
HINDTIN,INE428D01019,Equity
GODAVARI,INE362C01012,Equity
MUKESHB,INE596B01017,Equity
KBSINDIA,INE883D01023,Equity
PRABHHANS,INE428P01013,Equity
VAMSHIRU,INE380C01014,Equity
VINYOFL,INE526H01011,Equity
JINDCAP,INE356F01017,Equity
EPIC,INE932F01015,Equity
SUMEDHA,INE886B01012,Equity
KUWERIN,INE430F01010,Equity
CHOKSI,INE865B01016,Equity
ASHISHPO,INE831C01016,Equity
SHIVAAGRO,INE960E01019,Equity
SIDDHA,INE140C01012,Equity
KIRANSY-B,INE293D01017,Equity
SUMERUIND,INE764B01029,Equity
RUNGTAIR,INE347C01013,Equity
GTTDATA,INE959B01017,Equity
VALSONQ,INE808A01018,Equity
SABOOSOD,INE440C01016,Equity
GSLSEC,INE721D01017,Equity
VIKRAMTH,INE337E01010,Equity
STRATMONT,INE473C01025,Equity
VIRAT,INE467D01017,Equity
RRETAIL,INE786J01033,Equity
TERAI,INE390D01011,Equity
MANRAJH,INE948I01015,Equity
COSCO,INE949B01018,Equity
KENFIN,INE395E01018,Equity
NCLRESE,INE132F01038,Equity
EXPLICITFIN,INE335G01019,Equity
LADDERUP,INE519D01015,Equity
EKAMLEA,INE906L01025,Equity
SWASTIKA,INE691C01022,Equity
PRIMAPLA,INE573B01016,Equity
TELECANOR,INE381G01013,Equity
JAGSONSER,INE582C01015,Equity
GARGFUR,INE194E01015,Equity
SAMPRE,INE375C01022,Equity
AAIL,INE864E01021,Equity
VIPULORG,INE834D01018,Equity
ECORECO,INE316A01038,Equity
GOYALASS,INE912B01032,Equity
ZENITHHE,INE812B01026,Equity
YORKEXP,INE057Q01018,Equity
LYKISLTD,INE624M01014,Equity
PRIMEPRO,INE233C01023,Equity
ZENLABS,INE546F01013,Equity
ANIRIT,INE161F01011,Equity
GOWRALE,INE225G01012,Equity
JAGANLAM,INE144C01014,Equity
ASITCFIN,INE041B01014,Equity
ENCODE,INE900O01014,Equity
SUPERBAK,INE897A01011,Equity
OVOBELE,INE812S01012,Equity
CHALLANI,INE807A01010,Equity
CORNE,INE715D01019,Equity
SHENTRA,INE0OUS01011,Equity
AGARWAL,INE510B01018,Equity
DYNAMICP,INE118C01018,Equity
INLANPR,INE055O01033,Equity
CEEJAY,INE358C01010,Equity
SUNCITYSY,INE584D01019,Equity
SHGANEL,INE400N01017,Equity
ANNAINFRA,INE336D01014,Equity
OIVL,INE125F01032,Equity
BNRUDY,INE355C01016,Equity
SSPDL,INE838C01011,Equity
DAIKAFFI,INE789B01018,Equity
CILSEC,INE830A01012,Equity
CLIOINFO,INE011B01017,Equity
SUNSHIEL,INE199E01014,Equity
HIPOLIN,INE963A01011,Equity
GDLLEAS,INE545E01018,Equity
ABVL,INE485K01022,Equity
SUCROSA,INE366G01022,Equity
NGIND,INE825C01018,Equity
ASIAPAK,INE784M01016,Equity
SICAPIT,INE417F01017,Equity
ERPSOFT,INE308B01017,Equity
RRSECUR,INE474H01014,Equity
INTETHR,INE038N01015,Equity
RAMSONS,INE609D01014,Equity
HARAFIN,INE737G01016,Equity
STANPACK,INE457D01018,Equity
RAMINFO,INE357B01022,Equity
SUNILAGR,INE224D01012,Equity
DIANATEA,INE012E01035,Equity
ALFAICA,INE042C01010,Equity
SKCIL,INE260E01014,Equity
INDIAHOME,INE274E01015,Equity
ROOPAIND,INE443C01010,Equity
SARTHAKGL,INE075H01019,Equity
UNIQUEO,INE333E01019,Equity
SWRNASE,INE595G01018,Equity
VENMAX,INE154G01022,Equity
ARISE,INE190D01015,Equity
VISAGAR,INE309H01038,Equity
LIBORD,INE267E01019,Equity
REGAL,INE101E01010,Equity
EBIX,INE432F01032,Equity
SWADHATURE,INE0P4R01017,Equity
COMPEAU,INE823B01015,Equity
ZDHJERK,INE239F01015,Equity
NEELKAN,INE741D01015,Equity
VINTAGES,INE153C01015,Equity
CONTILI,INE080G01029,Equity
VIJSOLX,INE362D01010,Equity
NIHARINF,INE876E01033,Equity
UNITDCR,INE858C01027,Equity
CENTUPLE,INE396H01019,Equity
GOTHIPL,INE538G01018,Equity
CEENIK,INE418D01010,Equity
KATIPATANG,INE237C01016,Equity
MENAMANI,INE148B01033,Equity
INANI,INE635D01027,Equity
GEMSI,INE503D01027,Equity
ELFORGE,INE158F01017,Equity
DILIGENT,INE650C01036,Equity
EPSOMPRO,INE601F01016,Equity
ALFAVIO,INE883B01027,Equity
ORGCOAT,INE412E01011,Equity
CATVISION,INE660B01011,Equity
KEMISTAR,INE971L01029,Equity
ASSOCER,INE771E01010,Equity
SKPSEC,INE709B01016,Equity
SYSCHEM,INE121D01036,Equity
MEFCOMCAP,INE186C01023,Equity
HEMANG,INE930A01010,Equity
EFORU,INE355H01015,Equity
FILTRON,INE589N01017,Equity
GLANCE,INE580D01017,Equity
TRADEWELL,INE819G01012,Equity
SPRIGHT,INE179O01031,Equity
COLINZ,INE923C01011,Equity
NLFL,INE606C01012,Equity
RTSPOWR,INE005C01017,Equity
SHYAMACOMP,INE861E01019,Equity
MAYURFL,INE262W01012,Equity
ANJANI,INE364D01032,Equity
DECOMIC,INE907E01010,Equity
RANDER,INE821D01031,Equity
RASIELEC,INE822D01021,Equity
SCOOBEEDAY,INE962E01015,Equity
CITIPOR,INE494D01011,Equity
DHRUVCA,INE972E01014,Equity
PRIMAIN,INE723N01012,Equity
INDGELA,INE342D01012,Equity
OPTIFIN,INE031G01022,Equity
PARAGONF,INE015E01012,Equity
PRATIKSH,INE530D01012,Equity
ESHAMEDIA,INE328F01016,Equity
EQUILATERA,INE060N01019,Equity
B2BSOFT,INE151B01011,Equity
NIKKIGL,INE526C01012,Equity
RADHEDE,INE986B01044,Equity
KINETRU,INE674M01019,Equity
ELIXIR,INE785D01012,Equity
TRISHAKT,INE238C01022,Equity
PANKAJPO,INE698B01011,Equity
MARBLE,INE807H01023,Equity
CINDRELL,INE897D01015,Equity
ADHHATA,INE586D01014,Equity
NATPLASTI,INE896D01017,Equity
LEADFIN,INE531D01010,Equity
NATFIT,INE643C01015,Equity
ARTEFACT,INE885B01014,Equity
TUSALDAH,INE319M01011,Equity
NUTECGLOB,INE960H01012,Equity
DHPIND,INE590D01016,Equity
AVAILFC,INE325G01010,Equity
INTCAPL,INE366H01012,Equity
MGIL,INE368C01019,Equity
JAYIND,INE250D01017,Equity
ROSELABS,INE475C01012,Equity
KRETTOSYS,INE128R01023,Equity
VIKALPS,INE186E01011,Equity
MILESTONE,INE151H01018,Equity
BERVINL,INE348I01018,Equity
GUJINV,INE373D01017,Equity
EASTRED,INE500D01015,Equity
PEETISEC,INE328D01011,Equity
SRAMSET,INE777G01012,Equity
GOLECHA,INE427D01011,Equity
EKANSH,INE005E01013,Equity
SPAR,INE960B01015,Equity
CSURGSU,INE405H01018,Equity
HASTIFIN,INE671D01014,Equity
UPSURGE,INE890B01014,Equity
PADAMCO,INE448D01025,Equity
WOMENNET,INE905B01010,Equity
POLYCON,INE262C01014,Equity
SOURCENTRL,INE679C01027,Equity
GGAUTO,INE493B01017,Equity
LWSKNIT,INE281M01013,Equity
ANSINDUS,INE234J01018,Equity
TUNITEX,INE560D01027,Equity
RADIXIND,INE576N01014,Equity
NARPROP,INE603F01012,Equity
MEGACOR,INE804B01023,Equity
BMBMUMG,INE644K01016,Equity
SYTIXSE,INE07P301011,Equity
SUNGOLD,INE271D01013,Equity
SAFFRON,INE474D01013,Equity
PWASML,INE523I01016,Equity
LYONSCO,INE100F01019,Equity
POLYLINK,INE323D01020,Equity
MINAXI,INE952C01028,Equity
BOSTON,INE109B01019,Equity
CONTICON,INE545B01022,Equity
NOUVEAU,INE317B01042,Equity
DUKEOFS,INE397G01019,Equity
CYBELEIND,INE183D01010,Equity
FILME,INE600B01033,Equity
CGVAK,INE084D01010,Equity
ESARIND,INE404L01039,Equity
MARIS,INE866D01010,Equity
INDERGR,INE628F01019,Equity
SKRABUL,INE561E01015,Equity
STEP2COR,INE623D01015,Equity
ORIENTTR,INE681D01039,Equity
VIKASPROP,INE767B01022,Equity
DESHRAK,INE971E01016,Equity
ACESOFT,INE849B01010,Equity
SOFTRAKV,INE562E01021,Equity
ACCEDERE,INE578B01015,Equity
MIZVEN,INE681K01026,Equity
RISHDIGA,INE864D01015,Equity
MAINFRA,INE392G01028,Equity
KOBO,INE881A01015,Equity
JHACC,INE865D01012,Equity
RAGHUTOB,INE754B01012,Equity
DRL,INE193D01019,Equity
AMITSEC,INE137E01014,Equity
PUSHPIN,NA,Equity
ASHUTPM,INE723K01018,Equity
SANJIVIN,INE860D01013,Equity
RANJITSE,INE863D01017,Equity
VASINFRA,INE192C01013,Equity
KMFBLDR,INE580H01026,Equity
BERYLSE,INE508J01015,Equity
RAP,INE483D01014,Equity
DEVINE,INE455C01014,Equity
BAMPSL,INE802A01037,Equity
GENPHARMA,INE861N01036,Equity
INCON,INE507D01010,Equity
MIDPOLY,INE046M01036,Equity
GOGIACAPGL,INE832C01014,Equity
GORANIN,INE792J01015,Equity
KGPETRO,INE902G01016,Equity
UFMINDL,INE832E01010,Equity
MAL,INE100C01024,Equity
OROSMITHS,INE628B01034,Equity
TEJASSVI,INE173E01019,Equity
SILVOAK,INE870J01019,Equity
SICL,INE936N01010,Equity
TOKYOFIN,INE546D01018,Equity
NATGENI,INE654H01011,Equity
UVS,INE528C01018,Equity
ABATEAS,INE454E01013,Equity
HITTCO,INE863C01019,Equity
YUVRAAJHPL,INE139D01020,Equity
RRMETAL,INE117K01013,Equity
VISIONCO,INE661D01015,Equity
KARNAWATI,INE214D01021,Equity
INANISEC,INE224C01014,Equity
ANKIN,INE067C01025,Equity
EMROCK,INE554H01021,Equity
MAYUR,INE799E01011,Equity
AMERISE,INE673C01020,Equity
FRONTFN,INE776R01011,Equity
PRITHVIEXCH,INE621B01021,Equity
KHYATI,INE593B01030,Equity
RAINBOWF,INE230F01014,Equity
VSDCONF,INE489F01016,Equity
TRICOMFRU,INE843F01014,Equity
PANCHSHEEL,INE316G01019,Equity
PRISMFN,INE429Q01019,Equity
GREENCREST,INE414C01045,Equity
GENNEX,INE509C01026,Equity
HIRAUTO,INE258Z01013,Equity
GINISILK,INE548B01018,Equity
BIOGEN,INE703D01023,Equity
GKCONS,INE131D01019,Equity
UNJHAFOR,INE576D01015,Equity
PFLINFOTC,INE600F01018,Equity
SHRADDHA,INE311M01018,Equity
KACHCHH,INE059E01010,Equity
PADALPO,INE630U01014,Equity
KACL,INE229G01022,Equity
KCLINFRA,INE469F01026,Equity
SESHACHAL,INE331F01028,Equity
SCANPRO,INE393D01015,Equity
PRERINFRA,INE426H01014,Equity
METALCO,INE161E01014,Equity
SGNTE,INE266C01023,Equity
GANGAPA,INE278O01015,Equity
TIRSARJ,INE297J01023,Equity
MUNOTHFI,INE348D01019,Equity
RODIUM,INE513E01024,Equity
NAGTECH,INE793H01017,Equity
NATHUEC,INE487B01019,Equity
IECEDU,INE172B01017,Equity
INDUSFINL,INE935D01013,Equity
TRINITYLEA,INE884X01011,Equity
ORIRAIL,INE457G01029,Equity
JOINDRE,INE024B01010,Equity
BHARATAGRI,INE842D01029,Equity
UNITINT,INE929K01011,Equity
SACHEMT,INE433G01020,Equity
POPULARES,INE370C01015,Equity
ANJANIFIN,INE283D01018,Equity
SVAINDIA,INE763K01014,Equity
REXNORD,INE687C01012,Equity
NWIL,INE882B01037,Equity
SAWACA,INE248B01023,Equity
CCLINTER,INE778E01031,Equity
GALLOPENT,INE755J01012,Equity
CROISSANCE,INE587J01027,Equity
JOJO,INE312M01016,Equity
GALAGEX,INE803L01016,Equity
HINDAPL,INE02XD01011,Equity
DHAMPURE,INE956B01013,Equity
SHAQUAK,INE545N01019,Equity
GOLCA,INE595D01015,Equity
SARTHAKIND,INE074H01012,Equity
SAICAPI,INE531X01018,Equity
BLUECHIP,INE657B01025,Equity
LEXORAA,INE185D01015,Equity
CHADPAP,INE669W01018,Equity
VERTEX,INE316D01024,Equity
RIBATEX,INE811H01017,Equity
NEWINFRA,INE997D01021,Equity
SHREMETAL,INE914B01012,Equity
IITLPROJ,INE786E01018,Equity
CHLOGIST,INE558F01026,Equity
HINDALUMI,INE227B01019,Equity
SPECFOOD,INE547C01018,Equity
DECPO,INE132E01015,Equity
AMRAAGRI,INE735C01027,Equity
AUTOPINS,INE706C01028,Equity
ODYCORP,INE839E01023,Equity
IKOMA,INE164D01010,Equity
INDCTST,INE146H01018,Equity
SAMINDUS,INE653D01012,Equity
SHVFL,INE981C01019,Equity
POOJAENT,INE147C01017,Equity
GRAVITY,INE995A01013,Equity
ESPIRE,INE176O01011,Equity
AARCON,INE056J01015,Equity
ZENOTECH,INE486F01012,Equity
HINDBIO,INE597C01021,Equity
FRONTCORP,INE092D01013,Equity
WALLFORT,INE121B01014,Equity
TRUSTEDGE,INE398H01015,Equity
ABHICAP,INE516F01016,Equity
GUJJUBHAI,INE311N01016,Equity
MONIND,INE407E01029,Equity
SHKALYN,INE079N01019,Equity
ATVOENT,INE219M01021,Equity
EPUJA,INE807D01030,Equity
INDOCITY,INE456B01014,Equity
SBECSUG,INE948G01019,Equity
BRIJLEAS,INE957E01031,Equity
BSELALGO,INE395A01016,Equity
RELIABVEN,INE419H01019,Equity
TRIUMPIN,INE382B01012,Equity
SMCREDT,INE440E01012,Equity
MOHITE,INE154B01023,Equity
HOTLSILV,INE731B01010,Equity
JOHNPHARMA,INE560F01022,Equity
TRESCON,INE088D01011,Equity
GUJSTATFIN,INE944A01011,Equity
MINOLTAF,INE514C01026,Equity
OMKARPH,INE501C01015,Equity
GAYATRI,INE622E01023,Equity
CMXLTD,INE027F01014,Equity
BENGALT,INE665D01016,Equity
TCIIND,INE920B01019,Equity
LANDMARC,INE394C01023,Equity
TCFCFINQ,INE389D01013,Equity
INTEGHIT,INE934A01012,Equity
KJMCCORP,INE602C01011,Equity
GROARC,INE042B01012,Equity
VAARAD,INE418B01048,Equity
SHIVACEM,INE555C01029,Equity
DANLAW,INE310B01013,Equity
HBPOR,INE638B01025,Equity
OMNIAX,INE369B01019,Equity
MADALA,INE002B01016,Equity
PADMALAYAT,INE243B01016,Equity
VIRGOGLOB,INE400B01020,Equity
PICTUREHS,INE448B01029,Equity
HITKITGLO,INE309B01023,Equity
NAGPI,INE099E01016,Equity
WEPSOLN,INE434B01029,Equity
UNIVARTS,INE464B01018,Equity
FIRSTFIN,INE683B01047,Equity
BABA,INE893A01036,Equity
TYCHE,INE443B01012,Equity
KONNDOR,INE971A01014,Equity
USGTECH,INE718B01017,Equity
4THGEN,INE739B01039,Equity
7TEC,INE856B01023,Equity
TRANSCOR,INE330E01023,Equity
GENUSPRIME,INE256D01014,Equity
SANINFRA,INE799C01049,Equity
TSPIRITUAL,INE541C01037,Equity
SHALIWIR,INE655D01025,Equity
HAZOOR,INE550F01049,Equity
MPFSL,INE095E01022,Equity
BEEYU,INE052B01011,Equity
FACORALL,INE828G01013,Equity
PBAINFRA,INE160H01019,Equity
CELLA,INE266H01014,Equity
MPDL,INE493H01014,Equity
GTNTEX,INE302H01017,Equity
AICHAMP,INE768E01024,Equity
ELAND,INE311H01018,Equity
JAGJANANI,INE702H01018,Equity
LEHAR,INE976H01018,Equity
HARYNACAP,INE928H01019,Equity
VTMLTD,INE222F01029,Equity
PARLEIND,INE272G01014,Equity
RATHIBAR,INE575I01016,Equity
PORWAL,INE386I01018,Equity
GOKAKTEX,INE642I01014,Equity
TELOGICA,INE778I01024,Equity
CHLLTD,INE790D01020,Equity
BIRLACOT,INE655I01032,Equity
LGBFORGE,INE201J01017,Equity
SIMPLXMIL,INE457H01027,Equity
SIMPLXPAP,INE456H01029,Equity
VEDAVAAG,INE359B01010,Equity
PEIL,INE429K01012,Equity
SURYAAMBA,INE360J01011,Equity
SPSL,INE318K01025,Equity
YUNIKM,INE143K01019,Equity
COROENGG,INE312J01012,Equity
SATCH,INE639K01016,Equity
GKB,INE265D01015,Equity
SEATV,INE351L01016,Equity
RDBIPL,INE245L01028,Equity
KTIL,INE096L01025,Equity
TRUEGREEN,INE672K01025,Equity
VMS,INE932K01015,Equity
ENKEIWHEL,INE130L01014,Equity
LESHAIND,INE050L01048,Equity
RDBRL,INE123M01017,Equity
FERVENTSYN,INE258M01011,Equity
PMCFIN,INE793G01035,Equity
FUTSOL,INE241F01011,Equity
AIML,INE123D01024,Equity
PYXISFIN,INE883L01018,Equity
OLPCL,INE550L01013,Equity
MAXHEIGHTS,INE393F01010,Equity
LOOKS,INE204N01013,Equity
META,INE958L01034,Equity
AMTL,INE436N01029,Equity
JUPITERIN,INE524N01014,Equity
VINAYAKPOL,INE581M01016,Equity
JOINTECAED,INE131N01018,Equity
COMCL,INE456N01019,Equity
SHANTIGURU,INE892L01019,Equity
CASPIAN,INE176N01039,Equity
AERPACE,INE175N01023,Equity
VIRTUALG,INE247C01023,Equity
TRIOMERC,INE234G01022,Equity
CDG,INE198N01017,Equity
ISERA,INE899M01020,Equity
MUKTA,INE160O01031,Equity
MYSTICELE,INE159O01033,Equity
COMFINCAP,INE274M01026,Equity
BMAL,INE583M01012,Equity
LAKHOTIA,INE191O01010,Equity
GCMSECU,INE168O01026,Equity
PRIMECAPM,INE748D01010,Equity
KIFS,INE902D01013,Equity
SVGLOBAL,INE159L01013,Equity
SDC,INE807O01011,Equity
OONE,INE860E01011,Equity
IFINSEC,INE474O01010,Equity
BRAHMINFRA,INE320I01017,Equity
AMPVOLTS,INE989J01017,Equity
KHOOBSURAT,INE731G01027,Equity
MMLF,INE340O01021,Equity
ALSL,INE030P01017,Equity
GCMCOMM,INE200P01016,Equity
JULIEN,INE890N01027,Equity
JKAGRI,INE690O01011,Equity
NOVELIX,INE314I01036,Equity
PVVINFRA,INE428B01021,Equity
VCU,INE962O01014,Equity
INDRENEW,INE138O01029,Equity
SRGFFL,INE326P01019,Equity
ACFSL,INE218P01018,Equity
STELLAR,INE325P01011,Equity
YURANUS,INE156M01017,Equity
CPL,INE536P01021,Equity
ARNOLD,INE185K01036,Equity
SUNLOC,INE671C01016,Equity
CHEMTECH,INE212P01011,Equity
DENISCHEM,INE051G01012,Equity
POLYMAC,INE826P01018,Equity
UNISHIRE,INE210P01015,Equity
LAXMIPATI,INE920P01019,Equity
LADDU,INE546I01025,Equity
HANSUGAR,INE101H01013,Equity
BCP,INE905P01028,Equity
KCSL,INE576P01019,Equity
MANGIND,INE717C01025,Equity
HBGHOTELS,INE977M01024,Equity
RAUNAQ,INE523K01012,Equity
INFRONICS,INE463B01036,Equity
HARIAAPL,INE493N01012,Equity
VASUPRADA,INE574G01013,Equity
SHARPINV,INE909D01026,Equity
RESPONSINF,INE401B01010,Equity
GCMCAPI,INE191P01017,Equity
AFEL,INE663P01015,Equity
WESTLEIRES,INE266P01017,Equity
