BSE SYMBOL,ISIN No,Type
GOURMET,INE512D01028,Equity
ISHWATR,INE073I01012,Equity
TERRAFORM,INE122V01010,Equity
APIS,INE070K01014,Equity
VELOX,INE092P01017,Equity
EMERGENT,INE668L01013,Equity
GSLTD,INE403B01016,Equity
ZSARVAMA,INE978L01016,Equity
VIKSHEN,INE965V01020,Equity
STARSOURCE,INE320M01019,Equity
JAYCH,INE693E01016,Equity
KELENRG,INE881E01017,Equity
KEMP,INE060E01018,Equity
MPAGI,INE468C01017,Equity
AGVENTURES,INE321D01016,Equity
PBGLOBAL,INE615W01011,Equity
AMAL,INE841D01013,Equity
POLYCHEM,INE752B01024,Equity
ZR2,INE218N01021,Equity
MYSORPETRO,INE741A01011,Equity
TUTIALKA,INE400A01014,Equity
TANFACIND,INE639B01023,Equity
GUJPETR,INE636P01011,Equity
SWADEIN,INE716M01034,Equity
SCBL,INE467X01023,Equity
MAKERSL,INE987A01010,Equity
CONTCHM,INE423K01015,Equity
IGLFXPL-B,INE684U01011,Equity
ADVPETR-B,INE334N01018,Equity
RAJSPTR,INE374C01017,Equity
APTPACK,INE046E01025,Equity
BLUECHIPT,INE472D01017,Equity
JAGAJITIND,INE574A01016,Equity
KESARENT,INE133B01027,Equity
EMERALL,INE044N01021,Equity
RAVALSUGAR,INE615A01025,Equity
KFBL,INE991B01010,Equity
CAPRO,INE470N01010,Equity
PICCASUG,INE544C01023,Equity
CJGEL,INE557D01015,Equity
THAKKERS,INE04VT01017,Equity
CORAGRO,INE495D01018,Equity
KLRFM,INE014E01015,Equity
OLYOI,INE286E01019,Equity
MLKFOOD,INE588G01021,Equity
POLSON,INE339F01021,Equity
SIGNGCL,INE131O01024,Equity
ORIBEVER,INE247F01018,Equity
TGVSL,INE284B01028,Equity
LIMECHM,INE891G01011,Equity
UNTTEMI,INE357P01014,Equity
NOL,INE296D01010,Equity
WIREFABR,INE469D01013,Equity
ANSALHSG,INE880B01015,Equity
COMPUPN,INE607B01012,Equity
ADDIND,INE757C01021,Equity
ASHNOOR,INE372I01018,Equity
EASTBUILD,INE706N01017,Equity
MNPLFIN,INE798E01013,Equity
KIDUJA,INE845A01028,Equity
KEYCORP,INE130F01016,Equity
SHIKHARLETR,INE02BV01019,Equity
GUJHOTE,INE621C01011,Equity
FYNX,INE455H01021,Equity
RASRESOR,INE651D01016,Equity
JOLYPLS,INE289M01016,Equity
PARMCOS-B,INE143I01013,Equity
JINDHOT,INE726D01016,Equity
JPTRLES,INE990E01016,Equity
SIMMOND,INE657D01021,Equity
WARRENTEA,INE712A01012,Equity
COCHMAL,INE788M01017,Equity
BESTEAST,INE553F01035,Equity
ISTLTD,INE684B01029,Equity
NEWMKTAVE,INE800K01014,Equity
NITINCAST,INE861H01020,Equity
NEXOME,INE641A01013,Equity
IRONWOOD,INE791H01011,Equity
PANCARBON,INE013E01017,Equity
HBLEAS,INE549B01016,Equity
SHRICON,INE753D01010,Equity
SULABEN,INE673M01029,Equity
FRONTCAP,INE977E01013,Equity
TRANOCE,INE074J01018,Equity
THAKRAL,INE190F01028,Equity
GOLDLEG,INE088E01019,Equity
VJTFEDU,INE117F01013,Equity
VOLLF,INE763D01019,Equity
NETLINK,INE040F01033,Equity
TRILIANCE,INE778N01016,Equity
INDINFO,INE300B01022,Equity
BANASFN,INE521L01030,Equity
HATHWAYB,INE525B01016,Equity
PHOTON,INE107J01016,Equity
INDAG,INE802D01023,Equity
MMRUBBR-B,INE159E01026,Equity
SEL,INE367E01033,Equity
BENARAS,INE664D01019,Equity
BHAGWOX,INE026I01010,Equity
BOMOXY-B1,INE01TL01014,Equity
CRAVATEX,INE145E01017,Equity
CAPRIHANS,INE479A01018,Equity
EMPIND,INE515H01014,Equity
GARWAMAR,INE925D01014,Equity
HARDCAS,INE722D01015,Equity
ZHINDHSG,INE083O01019,Equity
MODRNSH,INE370A01019,Equity
MAPROIN,INE848M01019,Equity
OSEASPR,INE880P01015,Equity
PREMSYN,INE940N01012,Equity
RJSHAH,INE712Z01019,Equity
SHAHCON,INE02C301011,Equity
SINNAR,INE896E01023,Equity
HINDMILL,INE832D01020,Equity
ZSOUTGAS,INE532U01012,Equity
TECHCON,INE881P01013,Equity
